Compañía;País;Tipo;Ramo;Subramo;Moneda local; USD ;Año;Tasa de Cambio;AFILIADO
CHUBB;Brasil;Primas;Carga;Nacional;124.690.961;24.157.892;2022;5,1615;AFILIADO
CHUBB;Brasil;Primas;Carga;Internacional;84.108.241;16.295.310;2022;5,1615;AFILIADO
CHUBB;Brasil;Primas;RC;Internacional;12.832.447;2.486.186;2022;5,1615;AFILIADO
CHUBB;Brasil;Primas;RC;Férreo;76.755;14.871;2022;5,1615;AFILIADO
CHUBB;Brasil;Primas;RC;Aéreo;5.386.189;1.043.532;2022;5,1615;AFILIADO
CHUBB;Brasil;Primas;RC;Terrestre;129.097.624;25.011.649;2022;5,1615;AFILIADO
CHUBB;Brasil;Primas;RC;Desvíos;84.862.721;16.441.484;2022;5,1615;AFILIADO
ALLIANZ;Brasil;Primas;Carga;Nacional;104.041.883;28.305.325;2018;3,6757;AFILIADO
ALLIANZ;Brasil;Primas;Carga;Internacional;27.316.405;7.431.620;2018;3,6757;AFILIADO
ALLIANZ;Brasil;Primas;Cascos;Cascos Marítimos;20.520.055;5.582.625;2018;3,6757;AFILIADO
ALLIANZ;Brasil;Primas;RC;Terrestre;125.970.972;34.271.288;2018;3,6757;AFILIADO
ALLIANZ;Brasil;Primas;RC;Desvios;49.283.846;13.408.016;2018;3,6757;AFILIADO
ALLIANZ;Brasil;Primas;RC;Internacional;6.943.174;1.888.939;2018;3,6757;AFILIADO
ALLIANZ;Brasil;Primas;RC;Ferrea;1.473.313;400.825;2018;3,6757;AFILIADO
ALLIANZ;Brasil;Primas;Riesgos Portuarios;;112;30;2018;3,6757;AFILIADO
CHUBB;Brasil;Primas;RC;Acuaviario;4.523.772;876.445;2022;5,1615;AFILIADO
CHUBB;Brasil;Primas;Riesgos portuarios;;46.957.594;9.097.664;2022;5,1615;AFILIADO
CHUBB;Brasil;Primas;Cascos;;19.004.746;3.682.020;2022;5,1615;AFILIADO
CHUBB;Brasil;Primas;Riesgos petroleros;;15.656.388;3.033.302;2022;5,1615;AFILIADO
CHUBB;Brasil;Siniestros;Carga;Nacional;55.309.026;10.715.688;2022;5,1615;AFILIADO
CHUBB;Brasil;Siniestros;Carga;Internacional;24.874.867;4.819.310;2022;5,1615;AFILIADO
